DIM\Power, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 
50, 0.333489, 0.406949, 0.461605, 0.504373, 0.538978, 0.567661, 0.591873, 0.612606, 0.63057, 0.646287, 
51, 0.333315, 0.406837, 0.461514, 0.504286, 0.538892, 0.567577, 0.591794, 0.612537, 0.630514, 0.646248, 
52, 0.333331, 0.40686, 0.461574, 0.504389, 0.539037, 0.567762, 0.592019, 0.6128, 0.630813, 0.646581, 
53, 0.333439, 0.407051, 0.461812, 0.504668, 0.539356, 0.568122, 0.592417, 0.613234, 0.631283, 0.647084, 
54, 0.333323, 0.406888, 0.461625, 0.504467, 0.539147, 0.56791, 0.592207, 0.613033, 0.631093, 0.646909, 
55, 0.333298, 0.406927, 0.461711, 0.504592, 0.539307, 0.568103, 0.592432, 0.613289, 0.631379, 0.647225, 
56, 0.333422, 0.407079, 0.461882, 0.50478, 0.539514, 0.568331, 0.592683, 0.613563, 0.631676, 0.647546, 
57, 0.33337, 0.406978, 0.461754, 0.504639, 0.539371, 0.568192, 0.592555, 0.613451, 0.631584, 0.647475, 
58, 0.333449, 0.40713, 0.46194, 0.504844, 0.539591, 0.56843, 0.592813, 0.613731, 0.631889, 0.647807, 
59, 0.333393, 0.40702, 0.461817, 0.504726, 0.539482, 0.568328, 0.592714, 0.613633, 0.63179, 0.647706, 
60, 0.333422, 0.407156, 0.462038, 0.505013, 0.539823, 0.568716, 0.593146, 0.614105, 0.6323, 0.648253, 
61, 0.3334, 0.407186, 0.462104, 0.505107, 0.53994, 0.568851, 0.593297, 0.61427, 0.632479, 0.648444, 
62, 0.333502, 0.40722, 0.462091, 0.50507, 0.539898, 0.568816, 0.593278, 0.614272, 0.632504, 0.648493, 
63, 0.333194, 0.406953, 0.461873, 0.504901, 0.539774, 0.568735, 0.593235, 0.614267, 0.632534, 0.648558, 
64, 0.333474, 0.407228, 0.462136, 0.505149, 0.540011, 0.568966, 0.593466, 0.614501, 0.632776, 0.648809, 
65, 0.333457, 0.407234, 0.462174, 0.505222, 0.540114, 0.569094, 0.593614, 0.614667, 0.632958, 0.649005, 
66, 0.333352, 0.407242, 0.46226, 0.505362, 0.540294, 0.569308, 0.593859, 0.61494, 0.633257, 0.649331, 
67, 0.333275, 0.407119, 0.46211, 0.505202, 0.540138, 0.569163, 0.59373, 0.61483, 0.633167, 0.649261, 
68, 0.333316, 0.407198, 0.462214, 0.505317, 0.540255, 0.569277, 0.593839, 0.614934, 0.633267, 0.64936, 
69, 0.333254, 0.40709, 0.462081, 0.505178, 0.540122, 0.569158, 0.593739, 0.614856, 0.633214, 0.64933, 
70, 0.333432, 0.407325, 0.462341, 0.50545, 0.5404, 0.569441, 0.594027, 0.61515, 0.633514, 0.649638, 
71, 0.333186, 0.407043, 0.462056, 0.505185, 0.540167, 0.569245, 0.59387, 0.615031, 0.633433, 0.649593, 
72, 0.333442, 0.40731, 0.462308, 0.505414, 0.540373, 0.569431, 0.594037, 0.615183, 0.633571, 0.64972, 
73, 0.333272, 0.40715, 0.462172, 0.5053, 0.54028, 0.569358, 0.593986, 0.615153, 0.633563, 0.649735, 
74, 0.333265, 0.407197, 0.462248, 0.505394, 0.540385, 0.56947, 0.594104, 0.615278, 0.633695, 0.649875, 
75, 0.333313, 0.407264, 0.462348, 0.505525, 0.540542, 0.569649, 0.5943, 0.615488, 0.633918, 0.650108, 
